pmid,title,journal,pubdate,first_author,doi_or_elocation,pubmed_url,query
39002800,High throughput profiling identified PA-L106R amino acid substitution in A(H1N1)pdm09 influenza virus that confers reduced susceptibility to baloxavir in vitro.,Antiviral research,2024 Sep,Chen D,doi: 10.1016/j.antiviral.2024.105961,https://pubmed.ncbi.nlm.nih.gov/39002800/,"""baloxavir acid"" PA endonuclease"
29941893,Characterization of influenza virus variants induced by treatment with the endonuclease inhibitor baloxavir marboxil.,Scientific reports,2018 Jun 25,Omoto S,doi: 10.1038/s41598-018-27890-4,https://pubmed.ncbi.nlm.nih.gov/29941893/,"""baloxavir acid"" PA endonuclease"
30316915,"In vitro characterization of baloxavir acid, a first-in-class cap-dependent endonuclease inhibitor of the influenza virus polymerase PA subunit.",Antiviral research,2018 Dec,Noshi T,doi: 10.1016/j.antiviral.2018.10.008,https://pubmed.ncbi.nlm.nih.gov/30316915/,"""baloxavir acid"" PA endonuclease"
35292289,"Global update on the susceptibilities of human influenza viruses to neuraminidase inhibitors and the cap-dependent endonuclease inhibitor baloxavir, 2018-2020.",Antiviral research,2022 Apr,Govorkova EA,doi: 10.1016/j.antiviral.2022.105281,https://pubmed.ncbi.nlm.nih.gov/35292289/,"""influenza"" cap-dependent endonuclease inhibitor baloxavir resistance I38"
33367751,"Synthesis, inhibitory activity and oral dosing formulation of AV5124, the structural analogue of influenza virus endonuclease inhibitor baloxavir.",The Journal of antimicrobial chemotherapy,2021 Mar 12,Ivashchenko AA,doi: 10.1093/jac/dkaa524,https://pubmed.ncbi.nlm.nih.gov/33367751/,"""influenza"" cap-dependent endonuclease inhibitor baloxavir resistance I38"
32064779,Rapid detection of an I38T amino acid substitution in influenza polymerase acidic subunit associated with reduced susceptibility to baloxavir marboxil.,Influenza and other respiratory viruses,2020 Jul,Nakauchi M,doi: 10.1111/irv.12728,https://pubmed.ncbi.nlm.nih.gov/32064779/,"""influenza"" cap-dependent endonuclease inhibitor baloxavir resistance I38"
