pmid,title,journal,pubdate,first_author,doi_or_elocation,pubmed_url,query
37567255,Resistance profiles for the investigational neuraminidase inhibitor AV5080 in influenza A and B viruses.,Antiviral research,2023 Sep,Ivashchenko AA,doi: 10.1016/j.antiviral.2023.105701,https://pubmed.ncbi.nlm.nih.gov/37567255/,"""influenza B"" neuraminidase inhibitor oseltamivir zanamivir"
30299356,Neuraminidase inhibitor resistance in influenza: a clinical perspective.,Current opinion in infectious diseases,2018 Dec,Lee N,doi: 10.1097/QCO.0000000000000498,https://pubmed.ncbi.nlm.nih.gov/30299356/,"""influenza B"" neuraminidase inhibitor oseltamivir zanamivir"
11225320,[Neuraminidase inhibitor].,Nihon rinsho. Japanese journal of clinical medicine,2000 Nov,Kaji M,,https://pubmed.ncbi.nlm.nih.gov/11225320/,"""influenza B"" neuraminidase inhibitor oseltamivir zanamivir"
9651151,Structure-activity relationship studies of novel carbocyclic influenza neuraminidase inhibitors.,Journal of medicinal chemistry,1998 Jul 2,Kim CU,,https://pubmed.ncbi.nlm.nih.gov/9651151/,"""influenza B neuraminidase"" crystal structure inhibitor"
29641358,"H3N2 influenza viruses in humans: Viral mechanisms, evolution, and evaluation.",Human vaccines & immunotherapeutics,2018,Allen JD,doi: 10.1080/21645515.2018.1462639,https://pubmed.ncbi.nlm.nih.gov/29641358/,"""influenza B"" neuraminidase inhibition assay"
37258672,A pan-influenza antibody inhibiting neuraminidase via receptor mimicry.,Nature,2023 Jun,Momont C,doi: 10.1038/s41586-023-06136-y,https://pubmed.ncbi.nlm.nih.gov/37258672/,"""influenza B"" neuraminidase inhibition assay"
35784305,Validation of a Harmonized Enzyme-Linked-Lectin-Assay (ELLA-NI) Based Neuraminidase Inhibition Assay Standard Operating Procedure (SOP) for Quantification of N1 Influenza Antibodies and the Use of a Calibrator to Improve the Reproducibility of the ELLA-NI With Reverse Genetics Viral and Recombinant Neuraminidase Antigens: A FLUCOP Collaborative Study.,Frontiers in immunology,2022,Bernard MC,doi: 10.3389/fimmu.2022.909297,https://pubmed.ncbi.nlm.nih.gov/35784305/,"""influenza B"" neuraminidase inhibition assay"
