pmid,title,journal,pubdate,first_author,doi_or_elocation,pubmed_url,query
23097226,Outside-binding site mutations modify the active site's shapes in neuraminidase from influenza A H1N1.,Biopolymers,2013 Jan,Tolentino-Lopez L,doi: 10.1002/bip.22130,https://pubmed.ncbi.nlm.nih.gov/23097226/,"""influenza A H1N1"" neuraminidase oseltamivir crystal structure"
19917319,Host cell selection of influenza neuraminidase variants: implications for drug resistance monitoring in A(H1N1) viruses.,Antiviral research,2010 Feb,Okomo-Adhiambo M,doi: 10.1016/j.antiviral.2009.11.005,https://pubmed.ncbi.nlm.nih.gov/19917319/,"""influenza A H1N1"" neuraminidase oseltamivir crystal structure"
25605596,Targeting a cluster of arginine residues of neuraminidase to avoid oseltamivir resistance in influenza A (H1N1): a theoretical study.,Journal of molecular modeling,2015 Jan,Gema LR,doi: 10.1007/s00894-014-2525-9,https://pubmed.ncbi.nlm.nih.gov/25605596/,"""influenza A H1N1"" neuraminidase oseltamivir crystal structure"
21592407,Systematic review of influenza resistance to the neuraminidase inhibitors.,BMC infectious diseases,2011 May 19,Thorlund K,doi: 10.1186/1471-2334-11-134,https://pubmed.ncbi.nlm.nih.gov/21592407/,"""2009 pandemic H1N1"" neuraminidase oseltamivir zanamivir laninamivir"
25301400,Characterization of human Influenza Viruses in Lebanon during 2010-2011 and 2011-2012 post-pandemic seasons.,Intervirology,2014,Zaraket H,doi: 10.1159/000365758,https://pubmed.ncbi.nlm.nih.gov/25301400/,"""2009 pandemic H1N1"" neuraminidase oseltamivir zanamivir laninamivir"
35304163,Characterization of influenza B viruses with reduced susceptibility to influenza neuraminidase inhibitors.,Antiviral research,2022 Apr,Brown SK,doi: 10.1016/j.antiviral.2022.105280,https://pubmed.ncbi.nlm.nih.gov/35304163/,"""influenza neuraminidase"" inhibitor assay oseltamivir zanamivir peramivir"
23575174,Neuraminidase inhibitor susceptibility surveillance of influenza viruses circulating worldwide during the 2011 Southern Hemisphere season.,Influenza and other respiratory viruses,2013 Sep,Okomo-Adhiambo M,doi: 10.1111/irv.12113,https://pubmed.ncbi.nlm.nih.gov/23575174/,"""influenza neuraminidase"" inhibitor assay oseltamivir zanamivir peramivir"
26808479,Standardizing the influenza neuraminidase inhibition assay among United States public health laboratories conducting virological surveillance.,Antiviral research,2016 Apr,Okomo-Adhiambo M,doi: 10.1016/j.antiviral.2016.01.009,https://pubmed.ncbi.nlm.nih.gov/26808479/,"""influenza neuraminidase"" inhibitor assay oseltamivir zanamivir peramivir"
