pdb_id,fetch_status,title,experimental_method,resolution,release_date,primary_citation_title,primary_citation_year,primary_citation_pubmed_id,rcsb_url
3TI6,ok,Crystal structure of 2009 pandemic H1N1 neuraminidase complexed with oseltamivir,X-RAY DIFFRACTION,1.69,2011-11-23T00:00:00.000+00:00,Structural and functional analysis of laninamivir and its octanoate prodrug reveals group specific mechanisms for influenza NA inhibition,2011,22028647,https://www.rcsb.org/structure/3TI6
3TI5,ok,Crystal structure of 2009 pandemic H1N1 neuraminidase complexed with Zanamivir,X-RAY DIFFRACTION,1.9,2011-11-16T00:00:00.000+00:00,Structural and functional analysis of laninamivir and its octanoate prodrug reveals group specific mechanisms for influenza NA inhibition,2011,22028647,https://www.rcsb.org/structure/3TI5
3TI3,ok,Crystal structure of 2009 pandemic H1N1 neuraminidase complexed with laninamivir,X-RAY DIFFRACTION,1.8,2011-11-16T00:00:00.000+00:00,Structural and functional analysis of laninamivir and its octanoate prodrug reveals group specific mechanisms for influenza NA inhibition,2011,22028647,https://www.rcsb.org/structure/3TI3
