pmid,title,journal,pubdate,first_author,doi_or_elocation,pubmed_url,query
24011996,Structural and energetic analysis of drug inhibition of the influenza A M2 proton channel.,Trends in pharmacological sciences,2013 Oct,Gu RX,doi: 10.1016/j.tips.2013.08.003,https://pubmed.ncbi.nlm.nih.gov/24011996/,"""influenza A M2"" amantadine rimantadine resistance"
37377066,"A Study of the Activity of Adamantyl Amines against Mutant Influenza A M2 Channels Identified a Polycyclic Cage Amine Triple Blocker, Explored by Molecular Dynamics Simulations and Solid-State NMR.",ChemMedChem,2023 Aug 15,Stampolaki Μ,doi: 10.1002/cmdc.202300182,https://pubmed.ncbi.nlm.nih.gov/37377066/,"""influenza A M2 proton channel"" amantadine structure"
25387967,Drug inhibition and proton conduction mechanisms of the influenza a M2 proton channel.,Advances in experimental medicine and biology,2015,Gu R,doi: 10.1007/978-94-017-9245-5_13,https://pubmed.ncbi.nlm.nih.gov/25387967/,"""influenza A M2"" amantadine rimantadine resistance"
16493107,Adamantane resistance in influenza A.,JAMA,2006 Feb 22,Weinstock DM,,https://pubmed.ncbi.nlm.nih.gov/16493107/,"""adamantane resistance"" influenza A M2"
31894969,X-ray Crystal Structures of the Influenza M2 Proton Channel Drug-Resistant V27A Mutant Bound to a Spiro-Adamantyl Amine Inhibitor Reveal the Mechanism of Adamantane Resistance.,Biochemistry,2020 Feb 4,Thomaston JL,doi: 10.1021/acs.biochem.9b00971,https://pubmed.ncbi.nlm.nih.gov/31894969/,"""adamantane resistance"" influenza A M2"
18258311,"Adamantane resistance in circulating human influenza A viruses from Alberta, Canada (1970-2007).",Antiviral research,2008 Aug,Pabbaraju K,doi: 10.1016/j.antiviral.2007.12.006,https://pubmed.ncbi.nlm.nih.gov/18258311/,"""adamantane resistance"" influenza A M2"
