pmid,title,journal,pubdate,first_author,doi_or_elocation,pubmed_url,query
32975358,Fitness of influenza A and B viruses with reduced susceptibility to baloxavir: A mini-review.,Reviews in medical virology,2021 May,Abed Y,doi: 10.1002/rmv.2175,https://pubmed.ncbi.nlm.nih.gov/32975358/,"""baloxavir"" influenza B susceptibility"
37317069,"Viral Fitness of Baloxavir-Resistant Recombinant Influenza B/Victoria- and B/Yamagata-like Viruses Harboring the I38T PA Change, In Vitro, Ex Vivo and in Guinea Pigs.",Microorganisms,2023 Apr 22,Saim-Mamoun A,doi: 10.3390/microorganisms11051095,https://pubmed.ncbi.nlm.nih.gov/37317069/,"""influenza B"" PA endonuclease baloxavir"
36145480,Generation and Characterization of Drug-Resistant Influenza B Viruses Selected In Vitro with Baloxavir Acid.,"Pathogens (Basel, Switzerland)",2022 Sep 15,Saim-Mamoun A,doi: 10.3390/pathogens11091048,https://pubmed.ncbi.nlm.nih.gov/36145480/,"""influenza B"" PA endonuclease baloxavir"
32526195,"Early treatment with baloxavir marboxil in high-risk adolescent and adult outpatients with uncomplicated influenza (CAPSTONE-2): a randomised, placebo-controlled, phase 3 trial.",The Lancet. Infectious diseases,2020 Oct,Ison MG,doi: 10.1016/S1473-3099(20)30004-9,https://pubmed.ncbi.nlm.nih.gov/32526195/,"""baloxavir"" influenza B susceptibility"
35292289,"Global update on the susceptibilities of human influenza viruses to neuraminidase inhibitors and the cap-dependent endonuclease inhibitor baloxavir, 2018-2020.",Antiviral research,2022 Apr,Govorkova EA,doi: 10.1016/j.antiviral.2022.105281,https://pubmed.ncbi.nlm.nih.gov/35292289/,"""influenza B"" cap-dependent endonuclease inhibitor"
31107922,"Baloxavir marboxil, a novel cap-dependent endonuclease inhibitor potently suppresses influenza virus replication and represents therapeutic effects in both immunocompetent and immunocompromised mouse models.",PloS one,2019,Fukao K,doi: 10.1371/journal.pone.0217307,https://pubmed.ncbi.nlm.nih.gov/31107922/,"""influenza B"" cap-dependent endonuclease inhibitor"
30184455,Baloxavir Marboxil for Uncomplicated Influenza in Adults and Adolescents.,The New England journal of medicine,2018 Sep 6,Hayden FG,doi: 10.1056/NEJMoa1716197,https://pubmed.ncbi.nlm.nih.gov/30184455/,"""baloxavir"" influenza B susceptibility"
